Flujo,Fecha,Cod. RPM,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,BYCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0360,0.7824,1.8622,2.2000,2.2000,2.2554,1.2077,1.3699,2.0310,1.5562,0.6234,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,BYCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0414,0.7512,1.8194,2.1999,2.2083,2.2844,1.9675,2.1376,2.0011,1.5438,0.6357,0.0334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,BYCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0130,0.7102,1.7786,1.9938,1.9911,2.1981,2.0803,2.1907,2.0587,1.5253,0.5725,0.0424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,BYCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0318,0.7075,1.7435,2.1461,2.2143,1.8770,2.1886,2.2300,2.0962,1.6685,0.6565,0.0406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,GBTG1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4565,4.5651,8.2756,9.0869,9.3651,9.5818,9.4805,9.3206,9.0621,8.2788,4.5965,0.4692,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,GBTG1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4397,4.3533,8.0831,8.9521,9.2653,9.5311,9.4770,9.3202,9.0080,8.2046,4.6388,0.5391,-0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,GBTG1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4237,4.4025,8.1532,9.0917,9.4838,9.5860,9.4806,9.3374,9.0742,8.2358,4.7105,0.4569,-0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,GBTG1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4345,4.4748,8.2621,9.1409,9.3720,9.5980,9.5509,9.1504,9.0252,8.3458,4.0022,0.3762,-0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,ZMBG1138,0.0071,0.0075,0.0075,0.0082,0.0095,0.0099,0.1852,0.7828,1.6508,3.0636,4.4079,4.8616,5.7361,5.8117,5.4337,4.4716,2.3560,0.1971,0.0087,0.0078,0.0076,0.0080,0.0078,0.0078,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,ZMBG1138,0.0074,0.0072,0.0073,0.0071,0.0075,0.0079,0.1781,0.7636,1.6225,2.9704,3.8788,5.2354,5.9045,5.9515,5.6115,4.6699,2.3701,0.2826,0.0096,0.0077,0.0076,0.0075,0.0079,0.0073,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,ZMBG1138,0.0072,0.0072,0.0075,0.0075,0.0077,0.0077,0.1818,0.7857,1.6953,3.0952,4.1502,5.5534,6.2424,6.3512,5.7025,4.8599,2.5761,0.2094,0.0099,0.0075,0.0077,0.0078,0.0081,0.0080,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,ZMBG1138,0.0077,0.0072,0.0072,0.0072,0.0075,0.0076,0.1783,0.8213,1.6985,3.2107,4.7430,5.7978,6.2893,6.3547,5.8187,4.7006,2.0100,0.2228,0.0098,0.0074,0.0074,0.0076,0.0075,0.0075,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,AYAG1345,0.0099,0.0099,0.0096,0.0099,0.0099,0.0096,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,0.0093,0.0096,0.0096,0.0093,0.0096,0.0093,,,,,,,,,,,,,,,,,,,,,,,
